transaction_id,reference_id,card_id,amount,transaction_type,processed_at,merchant_id,terminal_id,batch_id,authorization_code,status
TX-PROC-202503110047-488685,TX-POS-202503110047-488685,CARD-23611,9.23,PURCHASE,2025-02-24 12:30:40,STORE-0512,POS-003,BATCH-STORE-0512-20250224-2,K29265,SETTLED
TX-PROC-202503110047-270271,TX-POS-202503110047-270271,QHVG-3735,26.82,PURCHASE,2025-03-03 11:29:53,STORE-0512,POS-005,BATCH-STORE-0512-20250303-6,CJ6205,SETTLED
TX-PROC-202503110047-707590,TX-POS-202503110047-707590,CARD-59662,10.5,PURCHASE,2025-03-01 12:18:45,STORE-0512,POS-005,BATCH-STORE-0512-20250301-4,YL3138,SETTLED
TX-PROC-202503110047-569407,TX-POS-202503110047-569407,GC-STORE-0512-7356,80.99,PURCHASE,2025-02-20 11:45:53,STORE-0512,POS-003,BATCH-STORE-0512-20250220-7,QR7095,SETTLED
TX-PROC-202503110047-110534,TX-POS-202503110047-110534,3898855059570486,49.99,REFUND,2025-03-10 11:01:11,STORE-0512,POS-003,BATCH-STORE-0512-20250310-9,C04000,SETTLED
TX-PROC-202503110047-884976,TX-POS-202503110047-884976,CARD-17290,7.0,PURCHASE,2025-02-20 19:29:15,STORE-0512,POS-001,BATCH-STORE-0512-20250220-3,WN7879,SETTLED
TX-PROC-202503110047-619952,TX-POS-202503110047-619952,SUNA-8248,47.14,REFUND,2025-02-13 11:17:47,STORE-0512,POS-001,BATCH-STORE-0512-20250213-6,S18545,SETTLED
TX-PROC-202503110047-321485,TX-POS-202503110047-321485,TQVP-3581,12.62,PURCHASE,2025-03-07 13:12:26,STORE-0512,POS-002,BATCH-STORE-0512-20250307-5,102788,SETTLED
TX-PROC-202503110047-570055,TX-POS-202503110047-570055,CARD-74912,21.99,PURCHASE,2025-03-09 11:08:09,STORE-0512,POS-004,BATCH-STORE-0512-20250309-6,258289,SETTLED
TX-PROC-202503110047-708757,TX-POS-202503110047-708757,GHBM-5392,2.0,PURCHASE,2025-03-10 12:01:54,STORE-0512,POS-004,BATCH-STORE-0512-20250310-4,810101,SETTLED
TX-PROC-202503110047-595660,TX-POS-202503110047-595660,3250234945628989,15.0,PURCHASE,2025-02-25 12:56:49,STORE-0512,POS-002,BATCH-STORE-0512-20250225-8,G73198,SETTLED
TX-PROC-202503110047-980505,TX-POS-202503110047-980505,CARD-39596,6.99,PURCHASE,2025-02-17 18:48:31,STORE-0512,POS-005,BATCH-STORE-0512-20250217-5,T47321,SETTLED
TX-PROC-202503110047-161921,TX-POS-202503110047-161921,ZOXX-7330,2.5,PURCHASE,2025-02-24 12:16:11,STORE-0512,POS-004,BATCH-STORE-0512-20250224-7,YC8074,SETTLED
TX-PROC-202503110047-271727,TX-POS-202503110047-271727,RYLA-2094,0.0,BALANCE,2025-02-26 11:53:29,STORE-0512,POS-002,BATCH-STORE-0512-20250226-9,YL8429,SETTLED
TX-PROC-202503110047-681865,TX-POS-202503110047-681865,UYFJ-7352,10.0,PURCHASE,2025-02-14 13:33:48,STORE-0512,POS-005,BATCH-STORE-0512-20250214-3,031874,SETTLED
TX-PROC-202503110047-670904,TX-POS-202503110047-670904,CARD-89687,45.99,PURCHASE,2025-02-10 23:25:15,STORE-0512,POS-004,BATCH-STORE-0512-20250210-4,K05603,SETTLED
TX-PROC-202503110047-608684,TX-POS-202503110047-608684,CARD-37699,36.62,PURCHASE,2025-03-03 17:32:20,STORE-0512,POS-005,BATCH-STORE-0512-20250303-3,343179,SETTLED
TX-PROC-202503110047-292588,TX-POS-202503110047-292588,GC-STORE-0512-4634,80.5,PURCHASE,2025-03-10 21:27:27,STORE-0512,POS-001,BATCH-STORE-0512-20250310-2,P01356,SETTLED
TX-PROC-202503110047-395423,TX-POS-202503110047-395423,GC-STORE-0512-7225,15.99,REFUND,2025-02-13 12:51:26,STORE-0512,POS-003,BATCH-STORE-0512-20250213-2,N22519,SETTLED
TX-PROC-202503110047-350836,TX-POS-202503110047-350836,XZFY-9776,8.66,PURCHASE,2025-02-28 12:43:04,STORE-0512,POS-003,BATCH-STORE-0512-20250228-8,P32185,SETTLED
TX-PROC-202503110047-789654,TX-POS-202503110047-789654,5336459662430207,97.99,PURCHASE,2025-02-26 17:00:28,STORE-0512,POS-002,BATCH-STORE-0512-20250226-1,470189,SETTLED
TX-PROC-202503110047-486461,TX-POS-202503110047-486461,GC-STORE-0512-1279,17.99,PURCHASE,2025-03-11 12:36:06,STORE-0512,POS-003,BATCH-STORE-0512-20250311-8,CO4180,SETTLED
TX-PROC-202503110047-237631,TX-POS-202503110047-237631,UOHH-3091,49.0,PURCHASE,2025-03-01 17:57:38,STORE-0512,POS-002,BATCH-STORE-0512-20250301-1,OJ6661,SETTLED
TX-PROC-202503110047-007471,TX-POS-202503110047-007471,IIFI-3997,3.99,PURCHASE,2025-02-14 11:48:49,STORE-0512,POS-003,BATCH-STORE-0512-20250214-5,C03688,SETTLED
TX-PROC-202503110047-332616,TX-POS-202503110047-332616,GC-STORE-0512-1279,22.0,PURCHASE,2025-02-24 11:50:30,STORE-0512,POS-004,BATCH-STORE-0512-20250224-4,U28821,SETTLED
TX-PROC-202503110047-297836,TX-POS-202503110047-297836,CARD-49690,4.99,PURCHASE,2025-03-05 17:20:22,STORE-0512,POS-002,BATCH-STORE-0512-20250305-9,KI5945,SETTLED
TX-PROC-202503110047-929238,TX-POS-202503110047-929238,GC-STORE-0512-7728,29.78,REFUND,2025-03-11 13:04:49,STORE-0512,POS-003,BATCH-STORE-0512-20250311-4,KZ5643,SETTLED
TX-PROC-202503110047-019755,TX-POS-202503110047-019755,IBVZ-8502,11.0,REFUND,2025-03-08 17:30:08,STORE-0512,POS-002,BATCH-STORE-0512-20250308-2,Y07546,SETTLED
TX-PROC-202503110047-152233,TX-POS-202503110047-152233,GC-STORE-0512-2763,62.19,PURCHASE,2025-02-25 12:29:06,STORE-0512,POS-003,BATCH-STORE-0512-20250225-6,A86426,SETTLED
TX-PROC-202503110047-694627,TX-POS-202503110047-694627,GC-STORE-0512-7516,5.16,REFUND,2025-03-11 18:09:56,STORE-0512,POS-005,BATCH-STORE-0512-20250311-3,PQ4818,SETTLED
TX-PROC-202503110047-215645,TX-POS-202503110047-215645,IJKW-7220,6.0,PURCHASE,2025-02-11 17:08:06,STORE-0512,POS-005,BATCH-STORE-0512-20250211-4,Z60557,SETTLED
TX-PROC-202503110047-967586,TX-POS-202503110047-967586,GC-STORE-0512-1193,99.9,PURCHASE,2025-02-27 12:30:44,STORE-0512,POS-001,BATCH-STORE-0512-20250227-6,M85435,SETTLED
TX-PROC-202503110047-714652,TX-POS-202503110047-714652,XICO-5046,10.99,PURCHASE,2025-02-11 17:19:24,STORE-0512,POS-002,BATCH-STORE-0512-20250211-1,Q66264,SETTLED
TX-PROC-202503110047-045466,TX-POS-202503110047-045466,GC-STORE-0512-9248,43.5,REFUND,2025-02-14 11:19:52,STORE-0512,POS-002,BATCH-STORE-0512-20250214-6,850983,SETTLED
TX-PROC-202503110047-077523,TX-POS-202503110047-077523,FPFQ-6357,20.99,PURCHASE,2025-02-27 14:08:07,STORE-0512,POS-001,BATCH-STORE-0512-20250227-1,TF0335,SETTLED
TX-PROC-202503110047-627585,TX-POS-202503110047-627585,9694214259395850,37.98,PURCHASE,2025-03-07 05:37:54,STORE-0512,POS-005,BATCH-STORE-0512-20250306-7,PW1447,SETTLED
TX-PROC-202503110047-846418,TX-POS-202503110047-846418,1620090976692438,21.5,PURCHASE,2025-02-21 11:47:43,STORE-0512,POS-001,BATCH-STORE-0512-20250221-1,T30554,SETTLED
TX-PROC-202503110047-217295,TX-POS-202503110047-217295,CARD-15581,73.25,PURCHASE,2025-02-12 17:20:54,STORE-0512,POS-001,BATCH-STORE-0512-20250212-6,AL4310,SETTLED
TX-PROC-202503110047-115025,TX-POS-202503110047-115025,CARD-92315,34.5,PURCHASE,2025-02-10 11:15:26,STORE-0512,POS-003,BATCH-STORE-0512-20250210-9,B21601,SETTLED
TX-PROC-202503110047-722985,TX-POS-202503110047-722985,JOZE-1022,23.0,PURCHASE,2025-02-27 12:54:57,STORE-0512,POS-003,BATCH-STORE-0512-20250227-3,ZL9723,SETTLED
TX-PROC-202503110047-102732,TX-POS-202503110047-102732,GC-STORE-0512-8937,0.0,BALANCE,2025-02-24 20:51:16,STORE-0512,POS-004,BATCH-STORE-0512-20250224-2,J17628,SETTLED
TX-PROC-202503110047-475365,TX-POS-202503110047-475365,GC-STORE-0512-5678,14.39,PURCHASE,2025-02-26 17:42:06,STORE-0512,POS-005,BATCH-STORE-0512-20250226-8,CE8800,SETTLED
TX-PROC-202503110047-443139,TX-POS-202503110047-443139,5711388279932721,32.0,PURCHASE,2025-03-04 18:15:14,STORE-0512,POS-001,BATCH-STORE-0512-20250304-2,BK0901,SETTLED
TX-PROC-202503110047-372582,TX-POS-202503110047-372582,AIXZ-3008,59.99,PURCHASE,2025-03-11 13:58:50,STORE-0512,POS-004,BATCH-STORE-0512-20250311-7,441416,SETTLED
TX-PROC-202503110047-573084,TX-POS-202503110047-573084,CARD-44021,31.99,PURCHASE,2025-03-07 12:19:31,STORE-0512,POS-005,BATCH-STORE-0512-20250307-7,056164,SETTLED
TX-PROC-202503110047-019973,TX-POS-202503110047-019973,CARD-33780,19.99,REFUND,2025-03-06 13:48:10,STORE-0512,POS-003,BATCH-STORE-0512-20250306-9,666601,SETTLED
TX-PROC-202503110047-139016,TX-POS-202503110047-139016,MLXJ-6344,19.0,PURCHASE,2025-02-23 13:39:18,STORE-0512,POS-003,BATCH-STORE-0512-20250223-7,207816,SETTLED
TX-PROC-202503110047-575502,TX-POS-202503110047-575502,CARD-74254,6.99,PURCHASE,2025-03-11 13:49:38,STORE-0512,POS-002,BATCH-STORE-0512-20250311-7,X57962,SETTLED
TX-PROC-202503110047-392717,TX-POS-202503110047-392717,8178869496847205,86.99,PURCHASE,2025-02-27 12:28:01,STORE-0512,POS-001,BATCH-STORE-0512-20250227-1,GO0146,SETTLED
TX-PROC-202503110047-306698,TX-POS-202503110047-306698,GC-STORE-0512-3992,2.0,PURCHASE,2025-03-06 12:18:07,STORE-0512,POS-003,BATCH-STORE-0512-20250306-7,505372,SETTLED
TX-PROC-202503110047-783820,TX-POS-202503110047-783820,6882445586599359,47.0,PURCHASE,2025-02-27 17:51:49,STORE-0512,POS-003,BATCH-STORE-0512-20250227-1,481179,SETTLED
TX-PROC-202503110047-783881,TX-POS-202503110047-783881,GC-STORE-0512-1244,0.0,BALANCE,2025-02-17 19:25:40,STORE-0512,POS-005,BATCH-STORE-0512-20250217-3,O31007,SETTLED
TX-PROC-202503110047-607635,TX-POS-202503110047-607635,CARD-31554,7.99,PURCHASE,2025-02-14 12:33:36,STORE-0512,POS-002,BATCH-STORE-0512-20250214-3,X69429,SETTLED
TX-PROC-202503110047-818368,TX-POS-202503110047-818368,GC-STORE-0512-9182,1.99,PURCHASE,2025-02-17 12:48:00,STORE-0512,POS-005,BATCH-STORE-0512-20250217-7,627160,SETTLED
TX-PROC-202503110047-065660,TX-POS-202503110047-065660,GC-STORE-0512-8699,17.5,PURCHASE,2025-03-09 12:19:25,STORE-0512,POS-001,BATCH-STORE-0512-20250309-8,ZD0283,SETTLED
TX-PROC-202503110047-848473,TX-POS-202503110047-848473,4353319805637740,63.98,PURCHASE,2025-03-02 11:08:30,STORE-0512,POS-002,BATCH-STORE-0512-20250302-5,640791,SETTLED
TX-PROC-202503110047-871170,TX-POS-202503110047-871170,GC-STORE-0512-2822,25.55,PURCHASE,2025-02-27 11:12:06,STORE-0512,POS-003,BATCH-STORE-0512-20250227-5,Y22001,SETTLED
TX-PROC-202503110047-305062,TX-POS-202503110047-305062,GC-STORE-0512-8636,80.74,PURCHASE,2025-03-02 11:46:36,STORE-0512,POS-002,BATCH-STORE-0512-20250302-2,E33635,SETTLED
TX-PROC-202503110047-368761,TX-POS-202503110047-368761,8606779267795999,0.0,BALANCE,2025-02-25 13:35:33,STORE-0512,POS-001,BATCH-STORE-0512-20250225-8,Z34676,SETTLED
TX-PROC-202503110047-803563,TX-POS-202503110047-803563,NUNI-4662,36.99,PURCHASE,2025-03-02 12:19:53,STORE-0512,POS-005,BATCH-STORE-0512-20250302-2,OP7910,SETTLED
TX-PROC-202503110047-484332,TX-POS-202503110047-484332,DWUW-3000,48.0,PURCHASE,2025-02-20 13:53:25,STORE-0512,POS-004,BATCH-STORE-0512-20250220-9,UI2034,SETTLED
TX-PROC-202503110047-893377,TX-POS-202503110047-893377,CARD-11654,95.5,PURCHASE,2025-03-08 12:30:03,STORE-0512,POS-001,BATCH-STORE-0512-20250308-1,023451,SETTLED
TX-PROC-202503110047-175931,TX-POS-202503110047-175931,6537456842694037,25.0,PURCHASE,2025-02-10 13:09:07,STORE-0512,POS-002,BATCH-STORE-0512-20250210-8,245546,SETTLED
TX-PROC-202503110047-328216,TX-POS-202503110047-328216,CARD-75638,63.0,PURCHASE,2025-02-22 18:18:56,STORE-0512,POS-003,BATCH-STORE-0512-20250222-4,018771,SETTLED
TX-PROC-202503110047-030210,TX-POS-202503110047-030210,PTIN-7391,49.99,PURCHASE,2025-02-24 19:46:52,STORE-0512,POS-004,BATCH-STORE-0512-20250224-1,225913,SETTLED
TX-PROC-202503110047-373299,TX-POS-202503110047-373299,CARD-64567,15.99,PURCHASE,2025-03-09 11:44:17,STORE-0512,POS-004,BATCH-STORE-0512-20250309-4,HX8901,SETTLED
TX-PROC-202503110047-249507,TX-POS-202503110047-249507,GC-STORE-0512-5453,6.97,PURCHASE,2025-02-15 12:34:26,STORE-0512,POS-004,BATCH-STORE-0512-20250215-9,C24636,SETTLED
TX-PROC-202503110047-358761,TX-POS-202503110047-358761,CARD-15581,4.0,PURCHASE,2025-02-25 13:15:09,STORE-0512,POS-005,BATCH-STORE-0512-20250225-8,KY6656,SETTLED
TX-PROC-202503110047-079436,TX-POS-202503110047-079436,CARD-40524,22.99,PURCHASE,2025-02-21 20:41:10,STORE-0512,POS-003,BATCH-STORE-0512-20250221-2,L37967,SETTLED
TX-PROC-202503110047-419372,TX-POS-202503110047-419372,GC-STORE-0512-3977,2.99,PURCHASE,2025-02-19 13:42:09,STORE-0512,POS-005,BATCH-STORE-0512-20250219-8,540786,SETTLED
TX-PROC-202503110047-367215,TX-POS-202503110047-367215,CGAK-9575,14.0,PURCHASE,2025-03-04 13:04:23,STORE-0512,POS-003,BATCH-STORE-0512-20250304-3,D40093,SETTLED
TX-PROC-202503110047-496632,TX-POS-202503110047-496632,CARD-69708,46.99,PURCHASE,2025-02-26 20:13:27,STORE-0512,POS-002,BATCH-STORE-0512-20250226-3,K80003,SETTLED
TX-PROC-202503110047-224586,TX-POS-202503110047-224586,GC-STORE-0512-6883,13.99,PURCHASE,2025-02-19 13:58:48,STORE-0512,POS-001,BATCH-STORE-0512-20250219-8,566720,SETTLED
TX-PROC-202503110047-772262,TX-POS-202503110047-772262,GC-STORE-0512-4299,16.16,PURCHASE,2025-03-09 13:46:22,STORE-0512,POS-002,BATCH-STORE-0512-20250309-4,CY2831,SETTLED
TX-PROC-202503110047-479290,TX-POS-202503110047-479290,1475262225905442,28.0,REFUND,2025-03-10 06:37:24,STORE-0512,POS-003,BATCH-STORE-0512-20250309-7,AE5359,SETTLED
TX-PROC-202503110047-663537,TX-POS-202503110047-663537,5051392678996434,2.99,PURCHASE,2025-02-27 19:36:10,STORE-0512,POS-003,BATCH-STORE-0512-20250227-9,Q76225,SETTLED
TX-PROC-202503110047-999399,TX-POS-202503110047-999399,CARD-50956,30.99,PURCHASE,2025-03-07 13:58:05,STORE-0512,POS-004,BATCH-STORE-0512-20250307-1,783401,SETTLED
TX-PROC-202503110047-388070,TX-POS-202503110047-388070,1705899554861334,11.99,PURCHASE,2025-02-16 13:11:26,STORE-0512,POS-004,BATCH-STORE-0512-20250216-1,K00397,SETTLED
TX-PROC-202503110047-242901,TX-POS-202503110047-242901,CARD-35976,19.99,PURCHASE,2025-02-17 12:15:32,STORE-0512,POS-003,BATCH-STORE-0512-20250217-7,DO5184,SETTLED
TX-PROC-202503110047-463030,TX-POS-202503110047-463030,WIFE-2593,1.99,PURCHASE,2025-02-23 13:10:14,STORE-0512,POS-005,BATCH-STORE-0512-20250223-1,I05348,SETTLED
TX-PROC-202503110047-610599,TX-POS-202503110047-610599,AKWK-6242,54.0,PURCHASE,2025-02-28 11:59:39,STORE-0512,POS-004,BATCH-STORE-0512-20250228-7,I34383,SETTLED
TX-PROC-202503110047-500078,TX-POS-202503110047-500078,KFKR-8128,36.44,REFUND,2025-02-12 11:32:54,STORE-0512,POS-001,BATCH-STORE-0512-20250212-4,LV8845,SETTLED
TX-PROC-202503110047-973243,TX-POS-202503110047-973243,CARD-85535,39.0,REFUND,2025-03-05 11:11:17,STORE-0512,POS-002,BATCH-STORE-0512-20250305-1,265037,SETTLED
TX-PROC-202503110047-182591,TX-POS-202503110047-182591,5917474977989620,48.99,PURCHASE,2025-03-10 12:41:11,STORE-0512,POS-003,BATCH-STORE-0512-20250310-2,445361,SETTLED
TX-PROC-202503110047-788458,TX-POS-202503110047-788458,4858362524617661,27.0,PURCHASE,2025-02-13 13:16:44,STORE-0512,POS-004,BATCH-STORE-0512-20250213-6,750937,SETTLED
TX-PROC-202503110047-452465,TX-POS-202503110047-452465,5358424912918202,35.53,REFUND,2025-03-04 13:56:17,STORE-0512,POS-003,BATCH-STORE-0512-20250304-9,079684,SETTLED
TX-PROC-202503110047-410363,TX-POS-202503110047-410363,YRVT-4102,7.0,PURCHASE,2025-02-25 13:23:12,STORE-0512,POS-002,BATCH-STORE-0512-20250225-5,AF7745,SETTLED
TX-PROC-202503110047-270376,TX-POS-202503110047-270376,GC-STORE-0512-4243,8.83,PURCHASE,2025-02-17 19:36:55,STORE-0512,POS-002,BATCH-STORE-0512-20250217-6,ZJ9736,SETTLED
TX-PROC-202503110047-596246,TX-POS-202503110047-596246,DTTO-7114,0.0,BALANCE,2025-02-27 13:40:39,STORE-0512,POS-005,BATCH-STORE-0512-20250227-2,A37519,SETTLED
TX-PROC-202503110047-741563,TX-POS-202503110047-741563,QGDM-1918,93.99,PURCHASE,2025-03-10 11:25:25,STORE-0512,POS-002,BATCH-STORE-0512-20250310-7,PY5697,SETTLED
TX-PROC-202503110047-882825,TX-POS-202503110047-882825,QRWK-7585,46.0,PURCHASE,2025-02-11 13:41:31,STORE-0512,POS-001,BATCH-STORE-0512-20250211-6,216672,SETTLED
TX-PROC-202503110047-622568,TX-POS-202503110047-622568,GC-STORE-0512-9182,22.99,REFUND,2025-03-01 18:12:55,STORE-0512,POS-001,BATCH-STORE-0512-20250301-9,O53985,SETTLED
TX-PROC-202503110047-867199,TX-POS-202503110047-867199,GC-STORE-0512-9714,21.5,PURCHASE,2025-03-08 11:08:29,STORE-0512,POS-005,BATCH-STORE-0512-20250308-7,A66589,SETTLED
TX-PROC-202503110047-563045,TX-POS-202503110047-563045,HDXJ-1897,8.99,PURCHASE,2025-03-10 17:32:00,STORE-0512,POS-004,BATCH-STORE-0512-20250310-1,CV9620,SETTLED
TX-PROC-202503110047-227369,TX-POS-202503110047-227369,CARD-69186,40.5,PURCHASE,2025-02-10 13:39:21,STORE-0512,POS-002,BATCH-STORE-0512-20250210-5,917944,SETTLED
TX-PROC-202503110047-922814,TX-POS-202503110047-922814,7282202128147956,7.99,PURCHASE,2025-03-03 12:26:57,STORE-0512,POS-005,BATCH-STORE-0512-20250303-2,SY8131,SETTLED
TX-PROC-202503110047-930691,TX-POS-202503110047-930691,GC-STORE-0512-6324,78.99,PURCHASE,2025-03-07 13:36:05,STORE-0512,POS-004,BATCH-STORE-0512-20250307-6,F91979,SETTLED
TX-PROC-202503110047-377674,TX-POS-202503110047-377674,CARD-11214,21.99,PURCHASE,2025-03-06 12:15:14,STORE-0512,POS-002,BATCH-STORE-0512-20250306-8,183778,SETTLED
TX-PROC-202503110047-362313,TX-POS-202503110047-362313,8226842329378623,7.99,PURCHASE,2025-03-02 19:49:41,STORE-0512,POS-001,BATCH-STORE-0512-20250302-4,305611,SETTLED
TX-PROC-202503110047-158780,TX-POS-202503110047-158780,1475262225905442,40.99,PURCHASE,2025-02-13 17:41:25,STORE-0512,POS-005,BATCH-STORE-0512-20250213-7,FA7356,SETTLED
TX-PROC-202503110047-006506,TX-POS-202503110047-006506,9483346004106275,26.99,PURCHASE,2025-02-25 11:36:50,STORE-0512,POS-004,BATCH-STORE-0512-20250225-3,V86125,SETTLED
TX-PROC-202503110047-195933,TX-POS-202503110047-195933,ZDOC-7114,13.99,PURCHASE,2025-03-04 11:22:23,STORE-0512,POS-001,BATCH-STORE-0512-20250304-6,Y42488,SETTLED
TX-PROC-202503110047-705856,TX-POS-202503110047-705856,2068699580937155,9.5,REFUND,2025-03-05 18:01:22,STORE-0512,POS-003,BATCH-STORE-0512-20250305-1,FB4108,SETTLED
TX-PROC-202503110047-526607,TX-POS-202503110047-526607,CARD-25432,18.0,PURCHASE,2025-02-19 16:42:47,STORE-0512,POS-003,BATCH-STORE-0512-20250219-6,GK8003,SETTLED
TX-PROC-202503110047-265777,TX-POS-202503110047-265777,OZKX-4840,19.0,PURCHASE,2025-03-11 13:39:11,STORE-0512,POS-005,BATCH-STORE-0512-20250311-4,662560,SETTLED
TX-PROC-202503110047-675896,TX-POS-202503110047-675896,SBOV-2855,9.99,PURCHASE,2025-03-09 12:29:37,STORE-0512,POS-005,BATCH-STORE-0512-20250309-4,O84099,SETTLED
TX-PROC-202503110047-908111,TX-POS-202503110047-908111,CARD-77637,0.0,BALANCE,2025-02-11 17:06:26,STORE-0512,POS-004,BATCH-STORE-0512-20250211-4,XQ4696,SETTLED
TX-PROC-202503110047-890719,TX-POS-202503110047-890719,SVKR-1644,1.99,PURCHASE,2025-02-15 18:07:21,STORE-0512,POS-001,BATCH-STORE-0512-20250215-3,184990,SETTLED
TX-PROC-202503110047-904180,TX-POS-202503110047-904180,6669787547830185,34.99,PURCHASE,2025-02-28 19:59:35,STORE-0512,POS-004,BATCH-STORE-0512-20250228-3,578226,SETTLED
TX-PROC-202503110047-234549,TX-POS-202503110047-234549,FPFQ-6357,12.99,PURCHASE,2025-02-19 12:11:42,STORE-0512,POS-002,BATCH-STORE-0512-20250219-1,153462,SETTLED
TX-PROC-202503110047-367547,TX-POS-202503110047-367547,7649460867798235,15.99,PURCHASE,2025-02-09 11:49:43,STORE-0512,POS-005,BATCH-STORE-0512-20250209-5,I58314,SETTLED
TX-PROC-202503110047-467791,TX-POS-202503110047-467791,3458524593891179,7.99,PURCHASE,2025-02-10 12:55:09,STORE-0512,POS-003,BATCH-STORE-0512-20250210-5,N63997,SETTLED
TX-PROC-202503110047-975591,TX-POS-202503110047-975591,GC-STORE-0512-4485,6.5,PURCHASE,2025-03-04 12:00:55,STORE-0512,POS-003,BATCH-STORE-0512-20250304-5,L95320,SETTLED
TX-PROC-202503110047-315873,TX-POS-202503110047-315873,5848539224707835,22.99,REFUND,2025-02-12 13:46:40,STORE-0512,POS-005,BATCH-STORE-0512-20250212-2,986338,SETTLED
TX-PROC-202503110047-583963,TX-POS-202503110047-583963,GHBM-5392,39.95,PURCHASE,2025-03-01 12:49:23,STORE-0512,POS-001,BATCH-STORE-0512-20250301-2,X00133,SETTLED
TX-PROC-202503110047-883347,TX-POS-202503110047-883347,CARD-62731,35.99,PURCHASE,2025-03-02 13:04:34,STORE-0512,POS-001,BATCH-STORE-0512-20250302-5,ES9781,SETTLED
TX-PROC-202503110047-872416,TX-POS-202503110047-872416,7355513085749826,39.99,REFUND,2025-03-03 11:38:58,STORE-0512,POS-002,BATCH-STORE-0512-20250303-8,114640,SETTLED
TX-PROC-202503110047-028992,TX-POS-202503110047-028992,OXMU-9833,8.98,PURCHASE,2025-02-21 13:42:30,STORE-0512,POS-005,BATCH-STORE-0512-20250221-1,164979,SETTLED
TX-PROC-202503110047-566979,TX-POS-202503110047-566979,CARD-83462,14.99,PURCHASE,2025-02-10 13:05:44,STORE-0512,POS-001,BATCH-STORE-0512-20250210-6,E47938,SETTLED
TX-PROC-202503110047-372479,TX-POS-202503110047-372479,4784665515284079,499.90000000000003,PURCHASE,2025-03-11 17:01:34,STORE-0512,POS-001,BATCH-STORE-0512-20250311-6,K88914,SETTLED
TX-PROC-202503110047-658382,TX-POS-202503110047-658382,GC-STORE-0512-7609,20.99,PURCHASE,2025-02-13 13:15:26,STORE-0512,POS-005,BATCH-STORE-0512-20250213-8,QI9058,SETTLED
TX-PROC-202503110047-481448,TX-POS-202503110047-481448,YGSY-9168,93.0,PURCHASE,2025-02-14 18:02:01,STORE-0512,POS-001,BATCH-STORE-0512-20250214-3,D20328,SETTLED
TX-PROC-202503110047-712596,TX-POS-202503110047-712596,GC-STORE-0512-4672,6.99,PURCHASE,2025-03-10 12:07:17,STORE-0512,POS-005,BATCH-STORE-0512-20250310-7,UM9122,SETTLED
TX-PROC-202503110047-137580,TX-POS-202503110047-137580,CARD-61051,18.99,PURCHASE,2025-03-04 16:19:40,STORE-0512,POS-005,BATCH-STORE-0512-20250304-7,559208,SETTLED
TX-PROC-202503110047-300055,TX-POS-202503110047-300055,4523321213584659,73.99,PURCHASE,2025-03-01 13:17:58,STORE-0512,POS-005,BATCH-STORE-0512-20250301-4,574796,SETTLED
